seed,method,success,time_s,energy_j,path_length_m,failure_reason_raw,failure_bucket,energy_kj_per_km
26,astar,True,213.60418645190973,180054.9259446502,3204.0627967786468,goal_reached,goal_reached,56.195816800368824
26,teacher,True,304.0,261547.03891513264,3122.1535669946197,goal_reached,goal_reached,83.77135630996442
26,rl_residual,True,152.0,151936.587864961,3107.362803202012,goal_reached,goal_reached,48.89567053721455
27,astar,True,205.46191390351493,196065.70710519128,3081.928708552721,goal_reached,goal_reached,63.617859349272244
27,teacher,True,288.0,278409.5344398767,3050.1727590646833,goal_reached,goal_reached,91.27664444988658
27,rl_residual,True,144.0,195042.88208674965,3134.9794013757055,goal_reached,goal_reached,62.21504422043732
28,astar,True,143.01306771273656,167280.91932060287,2145.196015691048,goal_reached,goal_reached,77.97931662049791
28,teacher,True,194.0,208670.5509500266,2089.720168522987,goal_reached,goal_reached,99.85573862624624
28,rl_residual,True,98.0,158221.87646173546,2110.6571036154896,goal_reached,goal_reached,74.96332596645202
29,astar,True,245.51144719802446,236005.35190215282,3682.671707970369,goal_reached,goal_reached,64.0853626434767
29,teacher,True,354.0,327516.84412739845,3665.5350210527786,goal_reached,goal_reached,89.35035192579672
29,rl_residual,True,178.0,204733.3500029021,3657.112898142557,goal_reached,goal_reached,55.98223399307303
30,astar,True,281.6181893942855,371497.5268234249,4224.272840914284,goal_reached,goal_reached,87.94354456115565
30,teacher,True,370.0,458715.22451177984,4301.314948757515,goal_reached,goal_reached,106.64534682452981
30,rl_residual,True,186.0,341037.20464717876,4131.160022986644,goal_reached,goal_reached,82.55240725355009
31,astar,True,267.3867212691254,266888.811534122,4010.8008190368796,goal_reached,goal_reached,66.54252444234078
31,teacher,True,376.0,359585.10137268016,3831.2844275167217,goal_reached,goal_reached,93.85497427183923
31,rl_residual,True,190.0,231622.5403526933,3867.711909536402,goal_reached,goal_reached,59.886192604365
32,astar,True,393.2461660345215,349746.1568554923,5898.692490517818,goal_reached,goal_reached,59.29214947511016
32,teacher,True,504.0,440477.78054513736,5480.168682860347,goal_reached,goal_reached,80.3766829153938
32,rl_residual,True,254.0,279085.0990211535,5500.269112362136,goal_reached,goal_reached,50.74026257986095
33,astar,True,244.80825804484832,266892.066035417,3672.123870672724,goal_reached,goal_reached,72.68057272439533
33,teacher,True,310.0,324058.92703555804,3522.6304097698207,goal_reached,goal_reached,91.99345072840981
33,rl_residual,False,44.0,101454.01378096081,1039.0879737457099,overload,overload,
34,astar,True,384.99049357490054,426467.25211070414,5774.857403623511,goal_reached,goal_reached,73.84896670229668
34,teacher,True,488.0,496682.8559161355,5175.714231845397,goal_reached,goal_reached,95.96411889592358
34,rl_residual,True,244.0,345093.4036622406,5242.965207383731,goal_reached,goal_reached,65.82027345446456
35,astar,True,381.04239798007933,429552.7437422828,5715.635969701193,goal_reached,goal_reached,75.15397166988214
35,teacher,True,488.0,505846.60517425183,5203.067221241159,goal_reached,goal_reached,97.22084756260082
35,rl_residual,True,246.0,368469.9328288003,5283.138776428078,goal_reached,goal_reached,69.74451143945194
